Input Sample,b_memory,b_naive,dendritic_myeloid_immature,dendritic_myeloid_mature,endothelial,eosinophil,epithelial,fibroblast,macrophage_M1,macrophage_M2,mast_cell,monocyte,neutrophil,nk_primed_IL2,nk_primed_IL2_PDGFD,nk_resting,t_CD4_memory,t_CD8_memory,t_CD8_naive,t_gamma_delta,t_helper,P-value,Pearson Correlation,RMSE
TCGA-HW-8319,0,0.11729237658454467,0.1272089933593343,0,0.012982047064962482,0,0.11219644690450148,0.004250819620518281,0.02532175759126202,0,0,0,0.07720245135848314,0,0.05769791874243464,0,0.04625960935156699,0.12119858842276428,0.2983889909996278,0,0,0,0.49457011167184095,0.88347580513204
TCGA-HW-8320,0,0.13162105653463838,0.15994073799784225,0,0.005835378412652617,0,0.09717195938519892,0.0061223250493399155,0.04825831773934657,0,0,0,0.04394546112963261,0,0.0889276131229938,0,0,0.15978773395519325,0.25838941667316173,0,0,0,0.5815939964271726,0.8137815470459405
TCGA-HW-8321,0,0.09403336006546235,0.062173349667146854,0,0.030490502638766657,0,0.07218735425481657,0.022016632049984965,0.06772996076987278,0,0,0,0.05989595336907161,0,0.06676701119202494,0,0,0.17867910160600922,0.34602677438684404,0,0,0,0.5360138160119852,0.8568695233496274
TCGA-HW-8322,0,0.1859193945806573,0.049401617543863775,0,0.021543535459594587,0,0.040416392678176004,0.012175594603839171,0.03180492474421874,0,0,0,0.05739306118453064,0,0.047537475353951114,0.008072569839437794,0.16487702930249823,0.132713732195468,0.24814467251376465,0,0,0.01,0.4042878101214421,0.9743940528205034
TCGA-HW-A5KJ,0,0.12059943126830255,0.016449115149687825,0,0.078055016433967,0,0.011517898833094335,0.030284363805996663,0.016497642902584344,0,0,0,0.028414634179160847,0,0.10431261227203896,0,0.04207200437614097,0.15836459190283175,0.39343268887619476,0,0,0,0.6243343489357553,0.7923587545588254
TCGA-HW-A5KK,0,0.2052054364669884,0.23750963407440873,0,0.07200163487679184,0,0.05397835342665053,0.01151018764763802,0,0.019774806419431617,0,0.08514160120259093,0.0119353464626228,0,0,0.017137106705966593,0.02405730243026869,0,0.15869005668853678,0.103058533598105,0,0,0.7042236887654167,0.7113084770218578
TCGA-HW-A5KL,0,0.1593245608373004,0.1345746273148073,0,0.019113955961835027,0,0.06665384252343944,0.00415355116842694,0.05930933349229372,0,0,0,0.060489728926000116,0,0.04149602589974036,0,0,0.1601520246998987,0.294732349176258,0,0,0,0.557533622785611,0.8375569779405778
TCGA-HW-A5KM,0,0.11782864710821932,0.05835574566597877,0.07674748181320593,0.03148828027866525,0,0.10770232680278945,0.010445081452895588,0.1302680032620323,0,0.0061123781109115125,0,0,0.005779970008534505,0,0,0.021070775510072654,0.15872353479486842,0.27547777519182626,0,0,0,0.5739655371881894,0.8190399271821416
TCGA-IK-7675,0,0.11837500866833899,0.0652598157053264,0,0.0315084521484571,0,0.1985679385565446,0.021316917222535984,0.027344758980139383,0,0,0,0.03812421384310448,0,0.04595129531828863,0.0004,0.011536885217456432,0.10896793072182111,0.3326310880421445,0,0,0,0.59101561880281,0.8084035723954404
TCGA-IK-8125,0,0.17521252367282758,0.08889330918159243,0,0.04013560130526021,0,0.0597655771029502,0.013334404201758724,0.029368499406359994,0,0,0,0.03538958919083487,0,0.08069329301814554,0,0.006884286030161513,0.1571159103859602,0.3132070065041488,0,0,0,0.5120410568491078,0.8810107679602653
